,Climate_region,Income_binary,Country_Name,Country_Code,Region,Income_group,Population,Land_area,Forest_area,Precipitation,Population_density,Capital_lat,GNP_per_Cap,Population_growth,Cereal_yield,Female_life_expectancy,Under_5_mortality,Renewables,CO2,PM25,Women_in_parliament,GINI_index,Govt_spend_education,Secondary_school_enrolment,School_gender_parity
167,Tropical,Low,Timor-Leste,TLS,East Asia & Pacific,Lower middle income,1174331,14870,46.8863492,1500,78.97316745,-9,2960,1.80755609,2923.1,70.127,52.8,18.4224884,0.399696508,20.45010047,38.5,28.7,2.68879,68.40023,1.0022
168,Tropical,High,Tonga,TON,East Asia & Pacific,Upper middle income,101028,720,12.5,NA,140.3166667,-20,4570,-0.7298007,NA,72.363,17.1,1.69762931,1.19779665,12.05763996,0,NA,NA,96.47279,1.02934
169,Tropical,High,Trinidad and Tobago,TTO,Latin America & Caribbean,High income,1362342,5130,45.391813,2200,265.5637427,11,18560,0.63636933,1325.6,75.5,20.8,0.28038013,33.96641445,24.85584226,28.6,NA,NA,NA,NA
170,Tropical,Low,Tunisia,TUN,Middle East & North Africa,Lower middle income,11063201,155360,6.63491278,207,71.21009912,34,4160,1.00154579,1805.7,77.832,17.3,12.9336297,2.605932406,34.69205883,31.3,NA,NA,87.66382,NA
171,Temperate or Polar,High,Turkey,TUR,Europe & Central Asia,Upper middle income,77231907,769630,15.0885485,593,100.3493978,39,12560,1.70197239,2831.5,79.209,13.4,11.6078875,4.479773496,42.59577121,14.4,41.2,NA,102.871,0.98054
172,Tropical,Low,Tanzania,TZA,Sub-Saharan Africa,Low income,49959822,885800,52.4181531,1071,56.4007925,-6,970,3.00210408,1672.6,64.349,61.4,86.6736033,0.231426985,28.87371592,36,NA,3.38488,30.74746,1.03181
173,Tropical,Low,Uganda,UGA,Sub-Saharan Africa,Low income,36912148,200520,11.0323157,1180,184.0821265,1,690,3.35231963,2021.1,62.496,58.5,90.2221301,0.141664527,46.93056685,35,NA,2.25068,NA,NA
174,Temperate or Polar,Low,Ukraine,UKR,Europe & Central Asia,Lower middle income,45271947,579290,16.6327749,565,78.15074833,49,3560,-0.4796159,4400.2,76.37,9.8,3.49974622,5.020747064,20.48689522,11.7,24,5.87494,95.99927,0.99587
175,Tropical,High,Uruguay,URY,Latin America & Caribbean,High income,3400434,175020,10.4117244,1300,19.42883099,-33,15830,0.32386496,4003.4,80.87,9.2,55.3913387,1.984240835,9.926816159,16.2,40.1,NA,110.9886,NA
176,Temperate or Polar,High,United States,USA,North America,High income,318386421,9147420,33.8696594,715,34.80614436,38,55830,0.73409282,7638.1,81.3,6.9,8.75430895,16.50283724,8.220720319,19.3,NA,4.96174,96.92454,1.00423
