,Climate_region,Income_binary,Country_Name,Country_Code,Region,Income_group,Population,Land_area,Forest_area,Precipitation,Population_density,Capital_lat,GNP_per_Cap,Population_growth,Cereal_yield,Female_life_expectancy,Under_5_mortality,Renewables,CO2,PM25,Women_in_parliament,GINI_index,Govt_spend_education,Secondary_school_enrolment,School_gender_parity
52,Tropical,High,Ecuador,ECU,Latin America & Caribbean,Upper middle income,15951838,248360,50.8399515,2274,64.22869222,-2,6110,1.54374077,3526.7,78.81,15.6,12.2181395,2.753266363,16.23418751,41.6,45,5.26099,104.8615,1.02267
53,Tropical,Low,"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,90424654,995450,0.07273093,51,90.83796675,27,3230,2.25924945,7085.1,73.36,24.6,5.86604491,2.232732005,76.55960126,NA,NA,NA,80.79742,0.99601
54,Temperate or Polar,High,Spain,ESP,Europe & Central Asia,High income,46480882,500210,36.7520446,636,92.92273645,40,29130,-0.2989511,3246.6,86.2,3.4,17.3517358,5.033824487,10.07458883,39.7,36.1,4.2799,123.3749,1.00708
55,Temperate or Polar,High,Estonia,EST,Europe & Central Asia,High income,1314545,43470,51.3549552,626,30.24028065,59,18880,-0.2622562,3669.6,81.9,3.4,25.3260591,14.84881917,7.705552572,19,34.6,5.39886,108.4099,0.99391
56,Tropical,Low,Ethiopia,ETH,Sub-Saharan Africa,Low income,98094253,1.00E+06,12.4584004,848,98.094253,8,550,2.79992186,2325.4,66.399,66.8,92.0676519,0.118240576,35.04359745,27.8,NA,4.60202,NA,NA
57,Temperate or Polar,High,Finland,FIN,Europe & Central Asia,High income,5461512,303890,73.1119813,536,17.97200303,64,49390,0.41356021,3691.6,84.1,2.4,41.2352406,8.660721243,6.468639868,42.5,26.8,7.15156,146.4276,1.05676
58,Tropical,High,Fiji,FJI,East Asia & Pacific,Upper middle income,866453,18270,55.4099632,2592,47.42490421,-18,5020,0.09757163,3513.9,68.715,24.3,34.5718209,1.350070921,11.92289283,14,NA,NA,NA,NA
59,Temperate or Polar,High,France,FRA,Europe & Central Asia,High income,66316100,547556.992,30.820536,867,121.1126896,46,43320,0.47978554,7556,86,4.1,13.3470246,4.573181595,12.28970307,26.2,32.3,5.51206,103.4258,1.00685
60,Tropical,Low,"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,107446,700,91.7714255,NA,153.4942857,7,3150,1.42476587,1610.9,68.843,35,1.15799036,1.399279638,11.86686885,0,NA,NA,NA,NA
61,Tropical,High,Gabon,GAB,Sub-Saharan Africa,Upper middle income,1883800,257670,88.4852719,1831,7.310901541,-1,9320,3.60651494,1599.9,65.991,53.5,81.3516097,2.756381782,41.31956969,15,NA,2.66667,NA,NA
62,Temperate or Polar,High,United Kingdom,GBR,Europe & Central Asia,High income,64613160,241930,12.9252263,1220,267.0737817,54,44320,0.7533495,7696.5,83.2,4.5,7.39522046,6.49744049,10.80055978,22.6,34,5.66499,126.3899,1.02166
63,Temperate or Polar,High,Georgia,GEO,Europe & Central Asia,Upper middle income,3719414,69490,40.6159146,1026,53.52444956,42,4760,0.0469539,2032.8,77.16,10.9,31.8929763,2.416460496,22.96670742,12,37.6,NA,97.45315,1.01177
64,Tropical,Low,Ghana,GHA,Sub-Saharan Africa,Lower middle income,27224472,227540,40.9097284,1187,119.646972,8,1920,2.29178069,1703.4,63.366,57.4,45.0494921,0.531371738,25.8895233,10.9,NA,4.49182,64.06382,0.97812
65,Tropical,Low,Guinea,GIN,Sub-Saharan Africa,Low income,11150977,245720,26.0459059,1651,45.38082777,11,740,2.34241788,1119.8,59.417,109,78.5178753,0.219671873,21.19667275,21.9,NA,2.42281,39.33397,0.78593
66,Tropical,Low,"Gambia, The",GMB,Sub-Saharan Africa,Low income,2024042,10120,48.0632405,836,200.0041502,13,650,3.02604518,746.6,62.017,67,51.9307948,0.253640982,30.62189539,9.4,NA,2.17849,NA,NA
67,Tropical,Low,Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,1692439,28120,70.4836415,1577,60.18630868,12,640,2.64523179,1388.3,58.686,94.8,87.0600171,0.160335469,26.94095978,13.7,NA,NA,NA,NA
68,Tropical,High,Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,1122276,28050,56.3137246,2156,40.00983957,2,13220,4.17245491,NA,58.266,97.5,7.6432749,4.763967152,44.30179969,24,NA,NA,NA,NA
69,Temperate or Polar,High,Greece,GRC,Europe & Central Asia,High income,10892413,128900,31.2164472,652,84.50281614,39,22180,-0.6661133,4287.7,84.1,4.4,16.0857927,6.180337268,17.36504185,21,35.8,NA,102.2895,0.96468
70,Tropical,High,Grenada,GRD,Latin America & Caribbean,Upper middle income,108902,340,49.9705876,2350,320.3,12,7520,0.67443316,1001.7,75.08,14.9,11.0768146,2.222383427,24.28703113,33.3,NA,NA,112.1142,0.98084
71,NA,High,Greenland,GRL,Europe & Central Asia,High income,56295,410450,0.000536,NA,0.137154343,NA,NA,-0.3333987,NA,73.81,0,14.900476,8.989181988,12.51054773,NA,NA,NA,NA,NA
72,Tropical,High,Guatemala,GTM,Latin America & Caribbean,Upper middle income,15923243,107160,33.3743925,1996,148.5931598,16,3460,2.07768719,2092.4,76.001,30.1,59.9010023,1.151000836,26.52785542,13.3,48.3,2.94139,52.6147,0.96195
73,Tropical,High,Guyana,GUY,Latin America & Caribbean,Upper middle income,763380,196850,84.003048,2387,3.877978156,5,4110,0.53787404,3394.7,72.413,34.1,24.0152013,2.632392779,23.64826569,31.3,NA,5.84796,NA,NA
74,Tropical,Low,Honduras,HND,Latin America & Caribbean,Lower middle income,8955589,111890,42.1127893,1976,80.03922603,15,2000,1.76941675,1724.8,76.628,20.2,54.0409418,1.057648023,23.16154008,25.8,50.4,7.09012,49.48024,1.04717
75,Temperate or Polar,High,Croatia,HRV,Europe & Central Asia,High income,4238389,55960,34.338813,1113,75.73961758,45,13270,-0.4073432,6027.8,80.5,5,33.6481913,3.973804906,18.43310352,23.8,32.1,NA,98.70238,1.02325
76,Tropical,Low,Haiti,HTI,Latin America & Caribbean,Low income,10549008,27560,3.5486213,1440,382.7651669,19,830,1.41613115,1006.8,64.201,72.6,78.3912383,0.271140187,16.26222456,4.2,NA,NA,NA,NA
77,Temperate or Polar,High,Hungary,HUN,Europe & Central Asia,High income,9866468,90530,22.8034895,589,108.985618,47,13540,-0.2693788,5897,79.4,5.4,15.6745498,4.265574976,16.31532793,10.1,30.9,4.63313,104.1899,1.00186
78,Tropical,Low,Indonesia,IDN,East Asia & Pacific,Lower middle income,255129004,1811570,50.6159842,2702,140.8330917,-6,3620,1.3108769,5095.5,72.698,29.1,37.4542683,1.81937838,16.45463183,16.9,39.4,3.28801,82.68238,0.98228
79,Tropical,Low,India,IND,South Asia,Lower middle income,1295604184,2973190,23.7131167,1083,435.762324,20,1560,1.14562399,2960.4,69.491,46.3,36.6518379,1.727670507,89.62238269,11.4,NA,NA,74.14153,1.06962
80,Temperate or Polar,High,Ireland,IRL,Europe & Central Asia,High income,4657740,68890,10.8628252,1118,67.61126433,53,46450,0.73100138,8471.6,83.5,3.9,8.52066979,7.313939808,8.750521533,15.7,31.9,4.86953,116.7391,1.00741
81,Tropical,High,"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,77465753,1628760,6.56449107,228,47.56118335,32,6550,1.27812682,2051.5,76.645,16.6,0.93911965,8.384101101,38.10949306,3.1,38.8,2.80135,85.27626,0.99553
82,Tropical,High,Iraq,IRQ,Middle East & North Africa,Upper middle income,34411951,434128.008,1.90036115,216,79.26682998,33,6840,3.71485531,2048.1,71.847,30.5,0.91210465,4.89491703,56.56703027,25.3,NA,NA,NA,NA
83,Temperate or Polar,High,Iceland,ISL,Europe & Central Asia,High income,327386,100250,0.4778055,1940,3.265695761,65,48230,1.11250476,NA,84.5,2.3,76.338871,6.059657407,6.948896646,39.7,27.8,7.68856,118.6157,1.01443
84,Tropical,High,Israel,ISR,Middle East & North Africa,High income,8215700,21640,7.5231055,435,379.6534196,31,35960,1.9195438,4529.6,84.1,4,3.68013235,7.863181348,22.05914688,22.5,39.8,5.78425,103.0234,1.00928
85,Temperate or Polar,High,Italy,ITA,Europe & Central Asia,High income,60789140,294140,31.4244924,832,206.6673693,43,34890,0.9175041,5709,85.6,3.6,17.0903588,5.270866786,17.76927084,31.4,34.7,4.07525,102.2811,0.99459
86,Tropical,High,Jamaica,JAM,Latin America & Caribbean,Upper middle income,2875136,10830,30.9861483,2051,265.478855,18,4920,0.57298532,1138.7,75.621,16.4,16.1167899,2.581445886,14.07433169,12.7,NA,6.01654,82.19751,NA
87,Tropical,High,Jordan,JOR,Middle East & North Africa,Upper middle income,8920049,88780,1.09822032,111,100.4736314,31,3870,4.58358044,1455.5,75.697,18.2,3.13055186,2.965238308,33.20542058,12,NA,NA,69.13018,1.00879
88,Temperate or Polar,High,Japan,JPN,East Asia & Pacific,High income,127276000,364560,68.4649978,1668,349.1222295,36,43950,-0.1326942,6080.6,86.83,2.8,5.62502589,9.538706103,12.58661692,8.1,NA,3.59059,NA,NA
89,Temperate or Polar,High,Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,17288285,2699700,1.22569174,250,6.40378005,48,12090,1.47267674,1172.7,75.94,13.1,1.30565512,14.36316974,13.74975351,25.2,27,NA,106.5912,1.01526
90,Tropical,Low,Kenya,KEN,Sub-Saharan Africa,Lower middle income,46699981,569140,7.68949626,630,82.05359138,1,1240,2.55944065,1583.4,66.415,48.2,75.5181686,0.305923722,28.94935013,19.1,NA,5.28021,NA,NA
91,Temperate or Polar,Low,Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,5835500,191800,3.362878,533,30.42492179,41,1250,2.0061079,2276.3,74.5,23.5,26.608307,1.646395339,23.29819153,23.3,26.8,5.5316,90.85203,1.0005
92,Tropical,Low,Cambodia,KHM,East Asia & Pacific,Lower middle income,15274503,176520,54.2963992,1904,86.53128824,12,1020,1.6380839,3315.3,70.234,33.7,68.0079101,0.437653585,28.58336628,20.3,NA,1.90939,NA,NA
93,Tropical,Low,Kiribati,KIR,East Asia & Pacific,Lower middle income,109391,810,14.9999995,NA,135.0506173,1,3250,1.38164301,NA,71.094,59,3.46502445,0.569873207,11.39374232,8.7,NA,NA,NA,NA
94,Temperate or Polar,High,"Korea, Rep.",KOR,East Asia & Pacific,High income,50746659,97430,63.5492158,1274,520.8524992,38,26800,0.62814986,6618.4,85,3.6,2.83819151,11.57034541,27.21311037,16.3,NA,NA,99.86733,0.99672
95,Tropical,High,Kuwait,KWT,Middle East & North Africa,High income,3690942,17820,0.35072952,121,207.123569,30,50750,4.56104282,21865.5,76.063,8.9,0,25.84922928,55.62390422,1.5,NA,NA,93.89049,1.03731
96,Tropical,Low,Lao PDR,LAO,East Asia & Pacific,Lower middle income,6639756,230800,80.4689785,1834,28.76844021,18,1820,1.49386819,4507.8,67.929,56.1,60.4741412,0.294364883,28.39017177,25,NA,2.93781,58.91762,0.92774
97,Tropical,High,Lebanon,LBN,Middle East & North Africa,Upper middle income,6262410,10230,13.4134899,661,612.1612903,34,7500,5.71376741,3386.2,80.699,8.6,3.23351915,3.843598231,30.44456692,3.1,NA,NA,NA,NA
98,Tropical,Low,Liberia,LBR,Sub-Saharan Africa,Low income,4359505,96320,43.6980897,2391,45.26064161,7,630,2.58316127,1254.9,63.181,81.9,83.9355343,0.214493389,14.94227071,11,33.2,2.2791,38.57373,0.87646
99,Tropical,High,Libya,LBY,Middle East & North Africa,Upper middle income,6362037,1759540,0.12332769,56,3.615738773,25,7610,0.65725987,676.6,75.161,13.9,1.75392908,8.95879433,47.50123391,16,NA,NA,NA,NA
100,Tropical,High,St. Lucia,LCA,Latin America & Caribbean,Upper middle income,178296,610,33.3770502,2301,292.2885246,14,7840,0.44012448,NA,76.829,18.1,2.14586618,2.282928389,24.23630259,16.7,NA,4.3956,87.53952,NA
101,Tropical,High,Sri Lanka,LKA,South Asia,Upper middle income,20778000,62710,33.1143374,1712,331.3347154,7,3640,0.93320794,3801.9,79.54,9.4,57.5851811,0.885247473,26.92277652,5.8,NA,1.93288,NA,NA
102,Tropical,Low,Lesotho,LSO,Sub-Saharan Africa,Lower middle income,2043437,30360,1.58102767,788,67.30688406,-30,1450,0.73272239,637.1,53.094,93,51.3888985,1.207715726,33.08010261,26.7,NA,NA,60.21678,1.05064
103,Temperate or Polar,High,Lithuania,LTU,Europe & Central Asia,High income,2932367,62650,34.764565,656,46.80553871,56,16040,-0.8598273,3975.2,80.1,5,27.7050525,4.378090123,12.84519425,24.1,37.7,4.48818,108.1848,0.96931
104,Temperate or Polar,High,Luxembourg,LUX,Europe & Central Asia,High income,556319,2430,35.6790111,934,228.9378601,50,76470,2.3569787,5935.5,85.2,2.7,6.88323194,17.36212137,10.85761339,28.3,31.2,4.00789,102.7084,1.01379
105,Temperate or Polar,High,Latvia,LVA,Europe & Central Asia,High income,1993782,62180,53.965907,641,32.06468318,57,15300,-0.9417434,3486.5,79.4,5.5,40.2360616,3.498192882,14.8790851,18,35.1,5.28294,113.7069,0.98579
106,Tropical,Low,Morocco,MAR,Middle East & North Africa,Lower middle income,34192347,446300,12.6372395,346,76.6129218,32,3060,1.40384505,1454.3,76.724,26.7,11.7185873,1.750794556,29.94944999,17,NA,NA,NA,NA
107,Temperate or Polar,Low,Moldova,MDA,Europe & Central Asia,Lower middle income,3556397,32870,12.3030117,450,108.1958321,47,3010,-0.0609701,3162.3,75.531,16.4,13.04735,1.386829142,16.72646105,17.8,26.8,7.46454,87.32076,1.00653
108,Tropical,Low,Madagascar,MDG,Sub-Saharan Africa,Low income,23589887,581800,21.4661396,1513,40.54638536,-20,520,2.70099601,3627,66.664,59.6,72.0265271,0.130420845,23.51776666,20.5,NA,2.79384,38.35387,0.98986
109,Tropical,High,Maldives,MDV,South Asia,Upper middle income,435015,300,3.33333333,1972,1450.05,3,7320,4.56740973,2405.1,79.101,10.6,0.9030324,3.068372355,9.921230863,5.9,NA,3.47046,NA,NA
110,Tropical,High,Mexico,MEX,Latin America & Caribbean,Upper middle income,120355128,1943950,34.0191885,758,61.91266648,23,10510,1.27767636,3581.8,77.86,15.4,9.75846242,3.990446149,23.09968975,37.4,48.7,5.26062,97.34338,1.02283
111,NA,High,Marshall Islands,MHL,East Asia & Pacific,Upper middle income,57179,180,70.2222241,NA,317.6611111,NA,4070,0.42237416,NA,0,36.8,12.0189983,1.795694223,11.07022018,3,NA,NA,NA,NA
112,Temperate or Polar,High,North Macedonia,MKD,Europe & Central Asia,Upper middle income,2077775,25220,39.5717684,619,82.38600317,42,5200,0.08223712,3899.8,77.352,12,21.2042386,3.614451035,31.79054123,33.3,35.2,NA,80.56839,0.97797
113,Tropical,Low,Mali,MLI,Sub-Saharan Africa,Low income,16934220,1220190,3.92889632,282,13.87834681,17,810,2.90192171,1550.7,57.7,113.2,64.5912607,0.083369355,33.91611574,9.5,NA,3.64819,44.01817,0.83934
114,Temperate or Polar,High,Malta,MLT,Middle East & North Africa,High income,434558,320,1.09374998,560,1357.99375,36,24240,1.99675441,4697.3,84.3,6.9,3.93010086,5.400613957,14.43540357,14.3,29,7.2503,94.43334,1.02657
115,Tropical,Low,Myanmar,MMR,East Asia & Pacific,Lower middle income,52280807,653080,45.3044043,2091,80.0526842,22,1230,0.82271202,3637.4,68.609,53.6,66.1328538,0.41375859,40.28896854,5.6,NA,NA,51.78527,0.98841
116,Temperate or Polar,High,Montenegro,MNE,Europe & Central Asia,Upper middle income,621810,13450,61.4869888,NA,46.23122677,43,7320,0.09702201,3451.5,78.734,3.9,45.9943349,3.55607179,21.94705168,17.3,31.9,NA,NA,NA
117,Temperate or Polar,Low,Mongolia,MNG,East Asia & Pacific,Lower middle income,2940108,1553560,8.14264018,241,1.892497232,48,4210,2.00339925,1650,73.119,19.5,3.26984282,7.088025678,39.29514006,14.9,32,4.71485,NA,NA
118,Tropical,Low,Mozambique,MOZ,Sub-Saharan Africa,Low income,26286163,786380,48.5088614,1032,33.42679493,-18,690,2.79856853,702.6,58.727,86.1,88.8570478,0.320578017,22.61416414,NA,54,NA,33.379,0.90495
119,Tropical,Low,Mauritania,MRT,Sub-Saharan Africa,Lower middle income,3930896,1030700,0.22120889,92,3.813811972,20,1390,2.92732033,1678.8,65.328,86.2,32.0193358,0.689388119,43.11078408,25.2,32.6,NA,30.7141,1.02126
120,Tropical,High,Mauritius,MUS,Sub-Saharan Africa,Upper middle income,1260934,2030,18.9950746,2041,621.1497537,-20,10820,0.18106147,3765.1,77.58,14.4,10.6338613,3.353110472,15.29264823,18.8,NA,4.91695,99.90385,1.01928
121,Tropical,Low,Malawi,MWI,Sub-Saharan Africa,Low income,16289540,94280,33.5702164,1181,172.7783199,-14,370,2.80309477,2218.1,64.065,63,79.950879,0.078339597,25.19822884,16.7,NA,4.83984,40.21174,0.99294
122,Tropical,High,Malaysia,MYS,East Asia & Pacific,Upper middle income,29866559,328550,67.5111879,2875,90.90415158,3,11140,1.34049066,3033.9,77.48,8,4.76977364,8.130210313,16.92315529,10.4,NA,5.21264,85.35154,1.04204
123,Tropical,High,Namibia,NAM,Sub-Saharan Africa,Upper middle income,2273430,823290,8.49421248,285,2.761396349,-22,5990,1.77153652,229.1,64.089,45.3,27.6174718,1.651692817,26.01812153,NA,NA,NA,NA,NA
124,Tropical,Low,Niger,NER,Sub-Saharan Africa,Low income,19240157,1266700,0.91134446,151,15.18919792,16,410,3.89988996,446.8,61.214,98.5,78.1414385,0.110542757,60.54135722,13.3,34.3,6.72771,18.20436,0.82613
125,Tropical,Low,Nigeria,NGA,Sub-Saharan Africa,Lower middle income,176404902,910770,8.12784797,1150,193.6876511,10,2990,2.66501917,1451,53.506,126.9,87.2992478,0.545794085,48.63337361,6.7,NA,NA,45.62404,0.95682
126,Tropical,Low,Nicaragua,NIC,Latin America & Caribbean,Lower middle income,6142733,120340,25.8766827,2280,51.04481469,13,1850,1.31550885,1914.3,76.795,19,51.8392836,0.791576323,19.38772134,42.4,46.2,4.08329,NA,NA
127,Temperate or Polar,High,Netherlands,NLD,Europe & Central Asia,High income,16865008,33690,11.1427722,778,500.5938854,53,51980,0.35982817,9073.7,83.5,4.1,5.65962774,9.920138075,12.82879707,38.7,28.6,5.4589,NA,NA
128,Temperate or Polar,High,Norway,NOR,Europe & Central Asia,High income,5137232,365123.008,33.1669047,1414,14.06986656,62,104560,1.12773668,4361.9,84.2,2.8,57.1964019,9.270945132,7.670895927,39.6,26.8,7.68074,112.7667,0.98223
129,Tropical,Low,Nepal,NPL,South Asia,Low income,26906926,143350,25.3644925,1500,187.7009138,28,770,-0.040799,2747.9,70.586,38.1,84.3747891,0.298463303,98.11601657,29.5,NA,3.99302,66.87903,1.05302
130,Temperate or Polar,High,New Zealand,NZL,East Asia & Pacific,High income,4509700,263310,38.5545547,1732,17.12696062,-41,41650,1.51033949,8033.9,83.3,6,30.3226371,7.686575825,6.357903512,29.8,NA,6.34647,115.3846,1.03816
131,Tropical,High,Oman,OMN,Middle East & North Africa,High income,4027260,309500,0.00646204,125,13.01214863,21,19170,6.73901769,4611.2,79.141,11.2,0,15.18879511,37.71088051,1.2,NA,NA,NA,NA
132,Tropical,Low,Pakistan,PAK,South Asia,Lower middle income,195306825,770880,1.96528643,494,253.3556779,30,1320,2.09227628,3001.2,67.323,78.2,46.6045297,0.851472804,59.51836271,20.7,NA,2.46593,37.32049,0.82981
133,Tropical,High,Panama,PAN,Latin America & Caribbean,High income,3901315,74340,62.3271442,2928,52.47935163,9,11040,1.7030297,2983.8,80.765,17.5,19.7707886,2.255854757,12.92161513,19.3,50.5,NA,75.07705,1.01641
134,Tropical,High,Peru,PER,Latin America & Caribbean,Upper middle income,30090359,1280000,57.922345,1738,23.50809297,-10,6530,1.05697286,4017.2,78.161,16.8,25.9968649,2.051984358,27.5826726,22.3,43.2,3.69064,97.02095,0.99489
135,Tropical,Low,Philippines,PHL,East Asia & Pacific,Lower middle income,100513138,298170,26.1595734,2348,337.100104,15,3450,1.64668922,3637.4,74.851,30.5,28.5821719,1.05114223,20.25958716,27.3,NA,NA,86.96586,1.01531
136,Tropical,Low,Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,7946731,452860,74.1107644,3142,17.54787572,-10,2990,2.01278982,4725.3,64.543,53,52.5523496,0.795074226,13.24529823,2.7,NA,NA,NA,NA
137,Temperate or Polar,High,Poland,POL,Europe & Central Asia,High income,38011735,306190,30.7449616,600,124.1442732,52,13640,-0.0748462,4268,81.7,5,11.5693155,7.517151585,22.21089179,24.3,32.8,4.90918,106.9047,0.97989
138,Temperate or Polar,Low,"Korea, Dem. People’s Rep.",PRK,East Asia & Pacific,Low income,25057752,120410,42.8369737,1054,208.1035794,39,NA,0.5133325,4154.1,74.549,22.4,21.033187,1.617371103,35.2402154,16.3,NA,NA,NA,NA
139,Temperate or Polar,High,Portugal,PRT,Europe & Central Asia,High income,10401062,91605.5957,34.8603148,854,113.5417757,40,21190,-0.5391905,4416,84.4,3.7,30.4570081,4.331554028,8.78479289,31.3,35.6,5.12325,116.0811,0.96825
140,Tropical,High,Paraguay,PRY,Latin America & Caribbean,Upper middle income,6599526,397300,39.3868623,1130,16.61093884,-23,5780,1.36159766,3276.7,75.494,22.9,63.1169353,0.864029477,12.6410755,15,50.7,NA,NA,NA
141,Temperate or Polar,High,Romania,ROU,Europe & Central Asia,Upper middle income,19908979,230080,29.5192968,637,86.53068063,46,9610,-0.3745755,4069.2,78.7,10,24.3318801,3.516153691,15.00649546,13.5,36,3.12642,94.41653,NA
