"","Binomial","order","family","genus","species","Mean_brain_mass_g","Mean_body_mass_Kg"
"249","Felis_manul","Carnivora","Felidae","Felis","manul",34.47,3
"250","Proteles_cristata","Carnivora","Hyaenidae","Proteles","cristata",35.2,8.82
"251","Vulpes_lagopus","Carnivora","Canidae","Vulpes","lagopus",35.5,3.415
"252","Felis_silvestris","Carnivora","Felidae","Felis","silvestris",35.5,4.13
"253","Viverra_megaspila","Carnivora","Viverridae","Viverra","megaspila",36.6,8.5
"254","Felis_chaus","Carnivora","Felidae","Felis","chaus",37,5.05
"255","Viverra_zibetha","Carnivora","Viverridae","Viverra","zibetha",37,8.5
"256","Civettictis_civetta","Carnivora","Viverridae","Civettictis","civetta",37,11.25
"257","Aonyx_cinerea","Carnivora","Mustelidae","Aonyx","cinerea",38.09,4.06
"258","Lontra_felina","Carnivora","Mustelidae","Lontra","felina",38.9,4
"259","Lutra_lutra","Carnivora","Mustelidae","Lutra","lutra",39,6.75
"260","Lycalopex_gymnocercus","Carnivora","Canidae","Lycalopex","gymnocercus",40,4.35
"261","Speothos_venaticus","Carnivora","Canidae","Speothos","venaticus",40.5,5.99
"262","Arctictis_binturong","Carnivora","Viverridae","Arctictis","binturong",40.85,11.47
"263","Puma_yagouaroundi","Carnivora","Felidae","Puma","yagouaroundi",40.9,2.485
"264","Viverra_civettina","Carnivora","Viverridae","Viverra","civettina",42.1,8.5
"265","Lycalopex_griseus","Carnivora","Canidae","Lycalopex","griseus",42.47,4.324
"266","Meles_meles","Carnivora","Mustelidae","Meles","meles",45.5,10.1
"267","Prionailurus_viverrinus","Carnivora","Felidae","Prionailurus","viverrinus",46.53,8.41
"268","Ailurus_fulgens","Carnivora","Ailuridae","Ailurus","fulgens",46.8,5.59
"269","Eira_barbara","Carnivora","Mustelidae","Eira","barbara",47.05,2.668
"270","Taxidea_taxus","Carnivora","Mustelidae","Taxidea","taxus",48.9,7.425
"271","Arctonyx_collaris","Carnivora","Mustelidae","Arctonyx","collaris",49.4,10.49
"272","Cerdocyon_thous","Carnivora","Canidae","Cerdocyon","thous",49.5,5.6
"273","Lontra_canadensis","Carnivora","Mustelidae","Lontra","canadensis",50.5,7.85
"274","Canis_adustus","Carnivora","Canidae","Canis","adustus",50.8,6.155
"275","Lycalopex_culpaeus","Carnivora","Canidae","Lycalopex","culpaeus",51.4,8.84
"276","Caracal_caracal","Carnivora","Felidae","Caracal","caracal",51.9,7.69
"277","Canis_mesomelas","Carnivora","Canidae","Canis","mesomelas",54.8,8
"278","Lontra_longicaudis","Carnivora","Mustelidae","Lontra","longicaudis",57.4,8
"279","Profelis_aurata","Carnivora","Felidae","Profelis","aurata",57.97,11.94
"280","Lutrogale_perspicillata","Carnivora","Mustelidae","Lutrogale","perspicillata",61,7.3
"281","Melogale_personata","Carnivora","Mustelidae","Melogale","personata",61.4,14.042
"282","Procyon_cancrivorus","Carnivora","Procyonidae","Procyon","cancrivorus",61.56,6.93172
"283","Atelocynus_microtis","Carnivora","Canidae","Atelocynus","microtis",62.18,9.03
"284","Catopuma_temminckii","Carnivora","Felidae","Catopuma","temminckii",68.03,4.22
"285","Lynx_lynx","Carnivora","Felidae","Lynx","lynx",68.5,17.2
"286","Neofelis_nebulosa","Carnivora","Felidae","Neofelis","nebulosa",68.7,19.49
"287","Canis_aureus","Carnivora","Canidae","Canis","aureus",72.2,7.15
"288","Gulo_gulo","Carnivora","Mustelidae","Gulo","gulo",72.5,10.6
"289","Mellivora_capensis","Carnivora","Mustelidae","Mellivora","capensis",72.97,8.08
"290","Canis_latrans","Carnivora","Canidae","Canis","latrans",84.5,9.76
"291","Pteronura_brasiliensis","Carnivora","Mustelidae","Pteronura","brasiliensis",85.6,24
"292","Cuon_alpinus","Carnivora","Canidae","Cuon","alpinus",94.6,13.8
"293","Aonyx_capensis","Carnivora","Mustelidae","Aonyx","capensis",94.6,19.11
"294","Hyaena_hyaena","Carnivora","Hyaenidae","Hyaena","hyaena",97.5,36.3
"295","Uncia_uncia","Carnivora","Felidae","Uncia","uncia",101.5,32.5
"296","Hyaena_brunnea","Carnivora","Hyaenidae","Hyaena","brunnea",106.7,39.3
"297","Acinonyx_jubatus","Carnivora","Felidae","Acinonyx","jubatus",111,43
"298","Enhydra_lutris","Carnivora","Mustelidae","Enhydra","lutris",119,23.6
"299","Chrysocyon_brachyurus","Carnivora","Canidae","Chrysocyon","brachyurus",120.3,23.25
"300","Lycaon_pictus","Carnivora","Canidae","Lycaon","pictus",129,22.05
"301","Canis_lupus","Carnivora","Canidae","Canis","lupus",130,31.1
"302","Panthera_onca","Carnivora","Felidae","Panthera","onca",149,77.7
"303","Crocuta_crocuta","Carnivora","Hyaenidae","Crocuta","crocuta",175,62.37
"304","Ailuropoda_melanoleuca","Carnivora","Ursidae","Ailuropoda","melanoleuca",205,87.5
"305","Panthera_leo","Carnivora","Felidae","Panthera","leo",259.5,84
"306","Ursus_thibetanus","Carnivora","Ursidae","Ursus","thibetanus",269,69.86
"307","Zalophus_californianus","Carnivora","Otariidae","Zalophus","californianus",405,91
