treatment,individual,EL,EW,FPW,GW,HL,ML,MPW,MW,PL,PC1,PC2
ILPC,5,1264.87,1371.44,1181.21,1346.65,188.07,496.46,1499.5,290.82,1068.86,-0.127419143,0.865070292
ILPC,6,1282.39,1410.57,1289.71,1428.91,210.36,518.94,1562.37,273.42,1130.26,1.457441852,0.398961682
ILPC,7,1340.82,1434.42,1279.69,1416.97,214.59,471.54,1550.62,286.45,1134.51,1.760913649,0.007210617
ILPC,8,1293.9,1390.99,1270.03,1405.41,205.69,483.46,1530.19,292.3,1105.41,1.044727069,0.59681671
ILPC,9,1233.22,1353.75,1236.42,1282.9,203.45,441.64,1461.92,269.42,1011.41,-0.802242192,1.022296963
ILPC,10,1154.51,1257.98,1055.29,1132.78,192.39,388.1,1338.22,223.07,924.37,-4.116884606,1.786520513
ILPC,11,1262.63,1384.42,1214.22,1322.64,210.17,423.04,1490.41,280.86,1026.49,-0.25230247,0.856397319
ILPC,12,1330.81,1402.23,1254.06,1390.9,192.39,463.19,1523.65,263.65,1085.91,0.6739962,-0.221917745
ILPC,13,1229.49,1366.73,1172.72,1326.75,188.16,525.22,1477.78,285.31,1070.43,-0.434965412,1.164263082
ILPC,14,1338.86,1478.15,1320.38,1503.91,221.22,540.38,1623.6,299.66,1169.76,3.082748074,0.034508823
ILPC,15,1364.36,1512.81,1340.98,1543.65,212.28,609.17,1643.61,311.28,1201.61,3.919789592,-0.231629481
ILPC,16,1306.88,1439.96,1240.95,1400.57,216.75,536.33,1557.17,300.02,1110.27,1.627393002,0.658077622
ILPC,17,1205.33,1306.88,1131.77,1221.49,177.02,418.27,1403.3,244.24,993.65,-2.530923796,0.959182118
ILPC,18,1346.8,1459.8,1273.77,1463.86,218.91,481.71,1603.23,301.41,1132.52,2.34391339,0.065115764
ILPC,19,1232,1362.31,1207.08,1349.22,238.98,467.21,1486.65,275.99,1072.16,0.127347486,1.658681438
ILPC,20,1176.68,1351.73,1147.78,1260.41,181.44,400.47,1415.54,252.17,995.26,-2.22220009,0.980503861
ILPC,21,1222.92,1315.38,1163.59,1257.52,179.12,402.48,1408.36,274.34,995.54,-1.984348966,1.093766456
ILPC,22,1190.39,1298.05,1161.38,1221.06,183.65,405.81,1409.41,244.05,1002.11,-2.425935772,1.08257214
ILPC,23,1194.11,1322.34,1150.46,1260.46,172.49,447.22,1418.25,268.65,1021.71,-1.980679938,1.146807877
ILPC,24,1279.39,1413.83,1245.8,1374.9,201.22,529.43,1546.3,288.31,1130.5,1.120461969,0.511228125
ILPD,1,,1479.04,1328.27,1519.12,188.01,565.76,1636.76,287.16,1179.79,,
ILPD,2,1105.97,1223.4,1025.3,1067.75,150.77,378.41,1306.21,209.78,916.99,-5.50455735,1.492097763
ILPD,3,1229.49,1328.99,1191.92,1270.03,199.12,542.68,1441.87,265.5,1019.4,-0.971636156,1.452225964
ILPD,4,1344.39,1456.72,1280.32,1450.69,218.92,511.24,1598.79,311.19,1147.74,2.513146792,0.243814854
ILPD,5,1180.82,1289.43,1129.97,1162.22,163.65,385.61,1370.99,237.54,959.71,-3.424612205,0.893693317
ILPD,6,1239.22,1339.3,1178.89,1292.13,192.39,530.45,1450.72,262.25,1028.92,-0.935469103,1.166135209
ILPD,7,1127.84,1255.31,1050.74,1073.19,205.84,340.88,1305.24,232.85,898.65,-4.572173378,2.220993057
ILPD,8,1041.73,1141.37,1034.13,996.85,165.98,231.5,1249.51,176.07,867.44,-7.197338112,1.899816886
