Diet,Pronotum,Mass0,Delta_smi,Song_week1
12,2.432692308,0.25002,-0.057793554,0
12,2.153846154,0.16582,NA,0
12,2.509615385,0.21479,0.003386878,279
12,2.317307692,0.20246,NA,0
24,2.451923077,0.20268,0.00736607,254
24,2.610576923,0.24113,0.022508508,3172
24,2.4375,0.23077,0.019411974,64
24,2.469230769,0.21812,0.008865734,9
24,2.1875,0.1681,0.009696256,1674
24,2.198076923,0.16522,0.004552874,234
24,2.223076923,0.21195,-0.007025969,185
24,2.563461538,0.236,0.015881094,12
24,2.451923077,0.214,0.00984306,40
24,2.428846154,0.20431,0.016068556,447
24,2.057692308,0.18369,-0.012361161,910
24,2.426923077,0.20146,0.012011171,3412
24,2.467307692,0.23082,0.021510095,1469
24,2.4,0.19992,0.013136787,860
24,2.405769231,0.20556,0.005758999,109
24,2.552884615,0.22149,0.027648881,0
36,2.326923077,0.185,0.004767291,515
36,2.158653846,0.16994,0.017627896,881
36,2.235576923,0.17157,0.011651828,0
36,2.476923077,0.23301,0.008792379,2593
36,2.610576923,0.25812,0.022699043,465
36,2.467307692,0.19159,0.011343086,8786
36,2.480769231,0.20693,0.014522883,524
36,2.425,0.18097,0.023163947,229
36,2.646153846,0.25582,0.054365241,244
36,2.332692308,0.18486,0.029823461,14
36,2.374038462,0.18792,0.034074964,523
36,2.5875,0.22703,0.003749782,5
36,2.428846154,0.20345,0.030648501,820
36,2.385576923,0.18479,0.017986533,3955
36,2.245192308,0.16472,0.007974637,0
36,2.294230769,0.17649,0.002335235,0
48,2.307692308,0.16895,0.024770053,3447
48,2.405769231,0.22008,-0.007901882,422
48,2.514423077,0.22961,0.039711742,375
48,2.134615385,0.16905,-0.010736973,0
48,2.468269231,0.19194,0.033260088,596
48,2.456730769,0.20622,0.031993337,1201
48,2.298076923,0.1854,0.027364686,1735
48,2.308653846,0.18799,0.030284193,137
48,2.211538462,0.15925,0.028578397,1599
48,2.510576923,0.21931,0.028673095,39
48,2.414423077,0.20063,0.005687476,8205
48,2.343269231,0.16283,0.021234507,0
48,2.136538462,0.17985,0.016895088,7809
48,2.707692308,0.23651,0.024522288,162
48,2.4875,0.20585,0.047744357,6968
48,2.533653846,0.23184,0.04740091,3572
60,2.419230769,0.19782,0.02091191,2120
60,2.433653846,0.20604,0.037224,3139
60,2.457692308,0.21445,0.046661603,1015
60,2.451923077,0.20837,0.040367361,1913
60,2.45,0.19853,0.026479688,1465
60,2.236538462,0.17493,0.026149387,2148
60,2.3,0.19068,0.020207213,1358
60,2.573076923,0.2499,0.035666975,1685
60,2.475961538,0.21233,0.036931186,338
60,2.246153846,0.18496,0.042517622,2222
60,2.386538462,0.17893,0.034758764,49668
60,2.242307692,0.16369,0.033591461,20508
60,2.288461538,0.17014,0.019123629,597
60,2.630769231,0.23409,0.027958346,2768
60,2.509615385,0.21903,0.056176259,12452
60,2.284615385,0.18613,0.004340707,207
72,2.451923077,0.19402,0.038917944,11972
72,2.515384615,0.20656,0.062247575,7632
72,2.302884615,0.1817,0.027695872,6530
72,2.332692308,0.18139,0.018200593,19780
72,2.438461538,0.21087,0.031824323,23329
72,2.445192308,0.23943,0.029461481,3782
72,2.533653846,0.24074,0.043471423,6722
72,2.4625,0.18333,0.026236782,312
72,2.548076923,0.2221,0.02428059,10017
72,2.375,0.20046,0.04742754,45473
72,2.360576923,0.21533,0.045426846,3249
72,2.442307692,0.21346,0.030967993,25702
72,2.444230769,0.19389,0.004109507,4098
72,2.384615385,0.19952,0.013274533,4097
72,2.466346154,0.23147,0.017283128,4755
72,2.279807692,0.16773,0.049662785,21911
84,2.294230769,0.18767,0.024957824,30938
84,2.342307692,0.17724,0.03440125,9218
84,2.342307692,0.20359,0.047263239,16909
84,2.504807692,0.17295,0.044750368,26
84,2.605769231,0.25412,0.060848087,9685
84,2.390384615,0.1801,0.013782647,1065
84,2.288461538,0.17211,0.031621962,6577
84,2.336538462,0.19907,0.03031292,193
84,2.283653846,0.18968,0.037050034,442
84,2.177884615,0.16224,0.020667564,5880
84,2.256730769,0.1704,0.037995739,6678
84,2.433653846,0.24977,-0.012245295,0
84,2.346153846,0.19696,0.047230563,16049
84,2.308653846,0.22365,0.026214783,11978
84,2.076923077,0.17896,-0.013104745,0
84,2.241346154,0.21003,-0.003746424,9713
12,2.288461538,0.20073,-0.019712745,1601
12,2.154807692,0.17373,-0.014883141,63
12,2.481730769,0.2082,0.001673521,808
12,2.596153846,0.22102,-0.001540355,0
24,2.390384615,0.19456,0.006323803,0
24,2.460576923,0.20082,-0.026599053,0
24,2.456730769,0.21122,-0.012936484,0
24,2.461538462,0.21532,0.014323471,0
36,2.625961538,0.25365,0.024578013,850
36,2.335576923,0.19719,0.026289332,0
36,2.356730769,0.17386,0.016261609,5
36,2.283653846,0.21013,-0.007545226,505
48,2.466346154,0.21958,0.015954501,174
48,2.232692308,0.15777,0.023796692,709
48,2.202884615,0.18661,0.002128935,271
48,2.433653846,0.18394,0.033531311,22
60,2.331730769,0.194,0.015661462,0
60,2.370192308,0.22312,0.016203265,222
60,2.240384615,0.18593,0.021792921,426
60,2.226923077,0.20282,-0.013269167,0
72,2.516346154,0.2011,0.049372906,61
72,2.399038462,0.23248,-0.040546193,0
72,2.302884615,0.16508,NA,71
72,2.524038462,0.21167,0.058044429,350
84,2.414423077,0.19311,0.034405588,39
84,2.528846154,0.23266,0.057543815,1842
84,2.4375,0.2067,0.046335167,2015
84,2.510576923,0.22549,0.033028647,11
12,2.369230769,0.22465,-0.018989823,0
12,2.418269231,0.20198,0.013645193,6
12,2.505769231,0.26678,-0.042507233,4348
12,2.319230769,0.184963,-0.013818036,0
12,2.659615385,0.23817,-0.003224147,311
12,2.564423077,0.2585,-0.016357483,3350
12,2.506730769,0.21546,-0.00718881,2816
12,2.183653846,0.1516,0.006791393,0
12,2.433653846,0.20823,0.01030345,13
12,2.458653846,0.2156,9.80354E-05,670
12,2.399038462,0.24924,-0.05047817,3731
12,2.443269231,0.24079,-0.031642391,155
12,2.331730769,0.1879,-0.000180673,374
12,2.264423077,0.17269,NA,6
