name,sex,mass,bodylength,taillength,taildiameter,headwidth,headlength,meanforearm,meanhindlimb,meanfootlength,bodysize_PC1,acceleration,sprint,jump,grasp,bite,motorcontrol,maneuverability,Max_O2_consump,Performance_PC1,Performance_PC2,Performance_PC3
30,f,234,144,176,12.17,32.24,60.88333333,46.385,57.18333333,35.11,-3.443743981,-1.12115141,0.858428484,-0.363123656,-1.5167137,-0.956444082,2.70563709,2.220165347,-1.179337698,-2.29992686,1.18479085,-2.848424715
31,f,387,174,112.3333333,13.06666667,37.27666667,66.87666667,49.44,61.105,39.5,-0.712841466,0.060444788,0.80718027,-0.083476016,0.347157341,0.563980708,-1.643430378,-0.120987169,0.134076218,1.28345036,-0.13771768,1.137874793
32,m,425,195.3333333,152.3333333,13.06333333,38.31666667,71.43,54.53,67.725,40.175,1.864849851,-0.233950563,0.171276558,-0.765764471,0.741601676,0.215888916,1.070387722,1.213727322,0.839658874,0.9836179,0.20446027,-1.667143583
33,m,386,169,215.6666667,14.06666667,36.18,67.67666667,50.22333333,62.36833333,38.58333333,0.201554771,0.199128325,-0.270013146,1.019578564,1.543650605,-0.970424252,0.953584195,-0.410395892,-0.846678976,-0.76828288,0.74964329,0.037106779
34,f,267,169,212,11.83666667,33.22333333,64.19,48.73833333,59.24833333,37.51166667,-1.474650146,-0.596632067,1.295511253,1.774368259,-0.478907563,-1.149547033,0.239784868,-0.918446585,-2.258115297,-2.4653726,1.20326591,1.252068118
35,m,292,159.6666667,211,12.36666667,34.55,67.49666667,50.07333333,60.96166667,39.52666667,-0.513293837,1.315259109,-0.629637375,0.295860829,-0.327796895,-0.409968655,-1.560230827,-1.754857083,-0.407265462,-0.31579631,-0.47452491,2.548149171
36,m,988,229,270.3333333,24.98333333,46.18333333,79.49666667,62.22,73.64166667,47.38166667,9.349223475,1.017125845,0.489639067,-1.084252061,3.031509487,1.797258592,-2.044372979,-0.63523273,1.422581138,4.33246589,-0.67355198,1.447031577
37,f,275,164.3333333,222.6666667,12.43666667,33.41333333,64.13333333,48.23833333,60.62833333,40.61666667,-0.882656065,0.302128626,0.610108136,0.465461944,0.073058659,-0.819860143,-0.609057575,0.000501316,-0.786277072,-0.51993003,0.61526608,0.881762573
38,m,959,255,264.6666667,21.7,43.96666667,69.86,61.59333333,74.77,44.44833333,7.725667885,1.681228594,1.183511221,-0.817551071,2.367485896,1.891689537,-0.019778524,1.443965324,1.728300418,4.10102907,1.35981794,-0.698217269
39,m,402,180.3333333,229.3333333,12.73,36.34333333,68.55666667,50.85666667,62.925,39.73166667,0.735629852,0.782000661,-0.971122889,-0.242719811,0.245672945,0.617592484,0.525304599,0.636798894,0.723187567,0.82087917,0.04057063,-0.885161313
40,m,378,177.6666667,202,13.92,35.13666667,64.83,49.91333333,61.07,36.73666667,-0.592165678,0.253431911,-0.318166044,1.089490474,0.656877005,0.297899682,-0.474014459,0.627480795,-0.816097518,0.12413245,0.6233177,-0.009669726
