species,class,order,family,subfamily,maximum_lifespan_yr,mass_g,volancy,fossoriallity,foraging_environment,daily_activity
Poicephalus_gulielmi,Aves,Psittaciformes,Psittacidae,Psittacinae,21,275,volant,nonfossorial,arboreal,diurnal
Pionus_menstruus,Aves,Psittaciformes,Psittacidae,NA,20.6,251,volant,nonfossorial,arboreal,diurnal
Chalcopsitta_sintillata,Aves,Psittaciformes,Psittaculidae,NA,19.7,190,volant,nonfossorial,arboreal,diurnal
Cyanoliseus_patagonus,Aves,Psittaciformes,Psittacidae,NA,19.5,278,volant,semifossorial,semiarboreal,diurnal
Agapornis_lilianae,Aves,Psittaciformes,Psittaculidae,NA,19.2,37.3,volant,nonfossorial,semiarboreal,diurnal
Nandayus_nenday,Aves,Psittaciformes,Psittacidae,NA,18.7,128,volant,nonfossorial,semiarboreal,diurnal
Lorius_lory,Aves,Psittaciformes,Psittaculidae,NA,18.5,177,volant,nonfossorial,semiarboreal,diurnal
Pionus_maximiliani,Aves,Psittaciformes,Psittacidae,NA,16.2,293,volant,nonfossorial,arboreal,diurnal
Polytelis_swainsonii,Aves,Psittaciformes,Psittaculidae,NA,15.1,153,volant,nonfossorial,semiarboreal,diurnal
Loriculus_galgulus,Aves,Psittaciformes,Psittaculidae,NA,14.3,28,volant,nonfossorial,arboreal,diurnal
Neophema_splendida,Aves,Psittaciformes,Psittaculidae,NA,14,38.6,volant,nonfossorial,terrestrial,diurnal
Polytelis_anthopeplus,Aves,Psittaciformes,Psittaculidae,NA,13.8,170,volant,nonfossorial,semiarboreal,diurnal
Pseudeos_fuscata,Aves,Psittaciformes,Psittaculidae,NA,13.4,149,volant,nonfossorial,arboreal,diurnal
Cyanoramphus_novaezelandiae,Aves,Psittaciformes,Psittaculidae,NA,12.4,92.6,volant,nonfossorial,semiarboreal,diurnal
Psephotus_haematonotus,Aves,Psittaciformes,Psittaculidae,NA,12.2,61.4,volant,nonfossorial,semiarboreal,diurnal
Glossopsitta_concinna,Aves,Psittaciformes,Psittaculidae,NA,11.5,70.8,volant,nonfossorial,arboreal,diurnal
Charmosyna_papou,Aves,Psittaciformes,Psittaculidae,NA,11.3,83,volant,nonfossorial,arboreal,diurnal
Forpus_coelestis,Aves,Psittaciformes,Psittacidae,NA,10.4,26.2,volant,nonfossorial,semiarboreal,diurnal
Cyanoramphus_auriceps,Aves,Psittaciformes,Psittaculidae,NA,9.3,46,volant,nonfossorial,semiarboreal,diurnal
