"","species","class","order","maximum_lifespan_yr","mass_g","volancy","fossoriallity","foraging_environment","daily_activity"
"64","Antilope_cervicapra","Mammalia","Artiodactyla",23.9,37500,"nonvolant","nonfossorial","terrestrial","diurnal"
"65","Aonyx_cinerea","Mammalia","Carnivora",23,3000,"nonvolant","nonfossorial","aquatic","nocturnal"
"66","Aotus_lemurinus","Mammalia","Primates",33.8,874,"nonvolant","nonfossorial","arboreal","nocturnal"
"67","Aotus_trivirgatus","Mammalia","Primates",30.1,800,"nonvolant","nonfossorial","arboreal","nocturnal"
"68","Apodemus_sylvaticus","Mammalia","Rodentia",6.3,23.4,"nonvolant","semifossorial","terrestrial","nocturnal"
"69","Arctictis_binturong","Mammalia","Carnivora",27,12250,"nonvolant","nonfossorial","arboreal","nocturnal"
"70","Artibeus_jamaicensis","Mammalia","Chiroptera",19.2,42.2,"volant","nonfossorial","volant","nocturnal"
"71","Arvicanthis_niloticus","Mammalia","Rodentia",6.7,110,"nonvolant","nonfossorial","terrestrial","cathemeral"
"73","Ateles_chamek","Mammalia","Primates",42.8,6000,"nonvolant","nonfossorial","arboreal","diurnal"
"74","Ateles_fusciceps","Mammalia","Primates",46,7000,"nonvolant","nonfossorial","arboreal","diurnal"
"75","Ateles_geoffroyi","Mammalia","Primates",47.1,7267.5,"nonvolant","nonfossorial","arboreal","diurnal"
"76","Ateles_paniscus","Mammalia","Primates",46,7887.5,"nonvolant","nonfossorial","arboreal","diurnal"
"77","Axis_axis","Mammalia","Artiodactyla",20.8,36000,"nonvolant","nonfossorial","terrestrial","cathemeral"
"78","Axis_calamianensis","Mammalia","Artiodactyla",17.2,40500,"nonvolant","nonfossorial","terrestrial","cathemeral"
"79","Axis_porcinus","Mammalia","Artiodactyla",22.9,43000,"nonvolant","nonfossorial","terrestrial","cathemeral"
"80","Babyrousa_babyrussa","Mammalia","Artiodactyla",22.9,71500,"nonvolant","semifossorial","terrestrial","diurnal"
"81","Barbastella_barbastellus","Mammalia","Chiroptera",23,10.25,"volant","nonfossorial","volant","nocturnal"
"82","Bassariscus_astutus","Mammalia","Carnivora",19,1015,"nonvolant","nonfossorial","arboreal","nocturnal"
"84","Bison_bison","Mammalia","Artiodactyla",33.5,630000,"nonvolant","nonfossorial","terrestrial","diurnal"
"85","Bison_bonasus","Mammalia","Artiodactyla",26.4,610000,"nonvolant","nonfossorial","terrestrial","diurnal"
"86","Bos_frontalis","Mammalia","Artiodactyla",26.2,825000,"nonvolant","nonfossorial","terrestrial","cathemeral"
"87","Bos_grunniens","Mammalia","Artiodactyla",26.3,667000,"nonvolant","nonfossorial","terrestrial","cathemeral"
"88","Bos_javanicus","Mammalia","Artiodactyla",27.1,700000,"nonvolant","nonfossorial","terrestrial","cathemeral"
"89","Boselaphus_tragocamelus","Mammalia","Artiodactyla",21.7,180000,"nonvolant","nonfossorial","terrestrial","diurnal"
"90","Bubalus_bubalis","Mammalia","Artiodactyla",34.9,725000,"nonvolant","nonfossorial","terrestrial","diurnal"
"91","Bubalus_depressicornis","Mammalia","Artiodactyla",36.1,155000,"nonvolant","nonfossorial","terrestrial","diurnal"
"92","Budorcas_taxicolor","Mammalia","Artiodactyla",21.9,180000,"nonvolant","nonfossorial","terrestrial","crepuscular"
"94","Callicebus_cupreus","Mammalia","Primates",26.4,1120,"nonvolant","nonfossorial","arboreal","diurnal"
"95","Callicebus_donacophilus","Mammalia","Primates",25,795,"nonvolant","nonfossorial","arboreal","diurnal"
"96","Callimico_goeldii","Mammalia","Primates",22.2,555,"nonvolant","nonfossorial","semiarboreal","diurnal"
"97","Callithrix_argentata","Mammalia","Primates",16.5,343.2,"nonvolant","nonfossorial","arboreal","diurnal"
"98","Callithrix_geoffroyi","Mammalia","Primates",17.6,342,"nonvolant","nonfossorial","arboreal","diurnal"
"99","Callithrix_jacchus","Mammalia","Primates",22.8,255.2,"nonvolant","nonfossorial","arboreal","diurnal"
"100","Callithrix_kuhlii","Mammalia","Primates",20,342,"nonvolant","nonfossorial","arboreal","diurnal"
"101","Callithrix_penicillata","Mammalia","Primates",15.4,307,"nonvolant","nonfossorial","arboreal","diurnal"
"102","Callithrix_pygmaea","Mammalia","Primates",18.6,124,"nonvolant","nonfossorial","arboreal","diurnal"
"103","Callosciurus_prevostii","Mammalia","Rodentia",21.1,400,"nonvolant","nonfossorial","arboreal","diurnal"
"104","Camelus_bactrianus","Mammalia","Artiodactyla",35.4,475000,"nonvolant","nonfossorial","terrestrial","diurnal"
"105","Camelus_dromedarius","Mammalia","Artiodactyla",28.4,434000,"nonvolant","nonfossorial","terrestrial","diurnal"
"106","Canis_aureus","Mammalia","Carnivora",18.8,11000,"nonvolant","nonfossorial","terrestrial","nocturnal"
"107","Canis_latrans","Mammalia","Carnivora",21.8,13250,"nonvolant","semifossorial","terrestrial","nocturnal"
"108","Canis_lupus","Mammalia","Carnivora",20.6,26625,"nonvolant","semifossorial","terrestrial","nocturnal"
"109","Canis_mesomelas","Mammalia","Carnivora",16.7,10250,"nonvolant","nonfossorial","terrestrial","cathemeral"
"110","Capra_caucasica","Mammalia","Artiodactyla",19.3,70000,"nonvolant","nonfossorial","terrestrial","cathemeral"
"111","Capra_falconeri","Mammalia","Artiodactyla",19.1,41000,"nonvolant","nonfossorial","terrestrial","diurnal"
"112","Capra_hircus","Mammalia","Artiodactyla",20.8,61000,"nonvolant","nonfossorial","terrestrial","cathemeral"
"113","Capra_ibex","Mammalia","Artiodactyla",20.9,82500,"nonvolant","nonfossorial","terrestrial","diurnal"
"114","Capra_nubiana","Mammalia","Artiodactyla",22.4,46250,"nonvolant","nonfossorial","terrestrial","diurnal"
"115","Capra_sibirica","Mammalia","Artiodactyla",22.3,130000,"nonvolant","nonfossorial","terrestrial","diurnal"
"116","Capreolus_capreolus","Mammalia","Artiodactyla",17.5,21666.7,"nonvolant","nonfossorial","terrestrial","crepuscular"
"117","Caracal_caracal","Mammalia","Carnivora",20.3,16000,"nonvolant","nonfossorial","terrestrial","nocturnal"
"118","Carollia_perspicillata","Mammalia","Chiroptera",17,15,"volant","nonfossorial","volant","nocturnal"
"119","Cavia_aperea","Mammalia","Rodentia",6,341,"nonvolant","nonfossorial","terrestrial","crepuscular"
"120","Cavia_porcellus","Mammalia","Rodentia",12,728,"nonvolant","semifossorial","terrestrial","crepuscular"
"121","Cebus_albifrons","Mammalia","Primates",40.4,2467.5,"nonvolant","nonfossorial","arboreal","diurnal"
"122","Cebus_apella","Mammalia","Primates",46,2642.5,"nonvolant","nonfossorial","arboreal","diurnal"
"123","Cebus_capucinus","Mammalia","Primates",54,2655,"nonvolant","nonfossorial","arboreal","diurnal"
"124","Cebus_olivaceus","Mammalia","Primates",47,2552.5,"nonvolant","nonfossorial","arboreal","diurnal"
"125","Cephalophus_natalensis","Mammalia","Artiodactyla",15.2,10000,"nonvolant","nonfossorial","terrestrial","nocturnal"
"126","Cephalophus_rufilatus","Mammalia","Artiodactyla",15.2,13000,"nonvolant","nonfossorial","terrestrial","nocturnal"
"127","Cephalophus_silvicultor","Mammalia","Artiodactyla",22.5,62000,"nonvolant","nonfossorial","terrestrial","nocturnal"
"129","Cervus_elaphus","Mammalia","Artiodactyla",31.5,200000,"nonvolant","nonfossorial","terrestrial","diurnal"
"130","Cervus_nippon","Mammalia","Artiodactyla",26.3,42000,"nonvolant","nonfossorial","terrestrial","cathemeral"
"132","Cheirogaleus_medius","Mammalia","Primates",23.2,380,"nonvolant","nonfossorial","arboreal","nocturnal"
"133","Chinchilla_lanigera","Mammalia","Rodentia",17.2,642.5,"nonvolant","semifossorial","terrestrial","nocturnal"
"134","Chlorocebus_aethiops","Mammalia","Primates",30.8,5620,"nonvolant","nonfossorial","semiarboreal","diurnal"
"137","Chrysocyon_brachyurus","Mammalia","Carnivora",16.8,21500,"nonvolant","nonfossorial","terrestrial","nocturnal"
"138","Coendou_prehensilis","Mammalia","Rodentia",26.6,3900,"nonvolant","nonfossorial","arboreal","nocturnal"
"139","Colobus_angolensis","Mammalia","Primates",35.3,8625,"nonvolant","nonfossorial","arboreal","diurnal"
"140","Colobus_guereza","Mammalia","Primates",35,9950,"nonvolant","nonfossorial","arboreal","diurnal"
"141","Connochaetes_gnou","Mammalia","Artiodactyla",21.8,132250,"nonvolant","nonfossorial","terrestrial","diurnal"
"142","Connochaetes_taurinus","Mammalia","Artiodactyla",24.3,164500,"nonvolant","nonfossorial","terrestrial","diurnal"
"143","Corynorhinus_townsendii","Mammalia","Chiroptera",20.5,14.25,"volant","nonfossorial","volant","nocturnal"
"144","Crocuta_crocuta","Mammalia","Carnivora",41.1,63000,"nonvolant","nonfossorial","terrestrial","nocturnal"
"145","Cryptomys_damarensis","Mammalia","Rodentia",15.5,180,"nonvolant","fossorial","terrestrial","cathemeral"
"146","Cryptoprocta_ferox","Mammalia","Carnivora",23.1,9500,"nonvolant","nonfossorial","semiarboreal","cathemeral"
"148","Cuon_alpinus","Mammalia","Carnivora",16.1,15750,"nonvolant","semifossorial","terrestrial","cathemeral"
"149","Cynictis_penicillata","Mammalia","Carnivora",15.2,598.5,"nonvolant","semifossorial","terrestrial","diurnal"
"150","Cynomys_ludovicianus","Mammalia","Rodentia",11,1125,"nonvolant","semifossorial","arboreal","diurnal"
"151","Cynopterus_brachyotis","Mammalia","Chiroptera",10.1,45,"volant","nonfossorial","volant","nocturnal"
"152","Dama_dama","Mammalia","Artiodactyla",21.1,70000,"nonvolant","nonfossorial","terrestrial","diurnal"
"153","Damaliscus_lunatus","Mammalia","Artiodactyla",23.6,110000,"nonvolant","nonfossorial","terrestrial","crepuscular"
"154","Damaliscus_pygargus","Mammalia","Artiodactyla",23,84500,"nonvolant","nonfossorial","terrestrial","crepuscular"
"155","Dasyprocta_azarae","Mammalia","Rodentia",11.8,2650,"nonvolant","nonfossorial","terrestrial","diurnal"
"156","Dasyprocta_leporina","Mammalia","Rodentia",17.8,3265,"nonvolant","nonfossorial","terrestrial","diurnal"
"157","Dasyprocta_punctata","Mammalia","Rodentia",13.8,2150,"nonvolant","nonfossorial","terrestrial","diurnal"
"159","Haplonycteris_fischeri","Mammalia","Chiroptera",10,18,"volant","nonfossorial","volant","nocturnal"
"160","Helarctos_malayanus","Mammalia","Carnivora",35.9,46000,"nonvolant","nonfossorial","semiarboreal","nocturnal"
"161","Helogale_parvula","Mammalia","Carnivora",18,274.8,"nonvolant","semifossorial","terrestrial","diurnal"
"162","Heterocephalus_glaber","Mammalia","Rodentia",31,35,"nonvolant","fossorial","terrestrial","cathemeral"
"163","Hexaprotodon_liberiensis","Mammalia","Artiodactyla",42.3,215000,"nonvolant","nonfossorial","aquatic","nocturnal"
"164","Hippopotamus_amphibius","Mammalia","Artiodactyla",61.2,3750000,"nonvolant","nonfossorial","terrestrial","nocturnal"
"165","Hipposideros_fulvus","Mammalia","Chiroptera",13,7,"volant","nonfossorial","volant","nocturnal"
"166","Hippotragus_equinus","Mammalia","Artiodactyla",25.9,225000,"nonvolant","nonfossorial","terrestrial","diurnal"
"167","Hippotragus_niger","Mammalia","Artiodactyla",22.2,225000,"nonvolant","nonfossorial","terrestrial","diurnal"
"168","Hyaena_hyaena","Mammalia","Carnivora",25,40000,"nonvolant","nonfossorial","terrestrial","nocturnal"
"169","Hydrochoerus_hydrochaeris","Mammalia","Rodentia",15.1,55000,"nonvolant","nonfossorial","terrestrial","crepuscular"
"170","Hydromys_chrysogaster","Mammalia","Rodentia",7.3,850,"nonvolant","nonfossorial","aquatic","cathemeral"
"171","Hylobates_agilis","Mammalia","Primates",49,5925,"nonvolant","nonfossorial","arboreal","diurnal"
"172","Hylobates_lar","Mammalia","Primates",56,6810,"nonvolant","nonfossorial","arboreal","diurnal"
"173","Hylobates_moloch","Mammalia","Primates",45,6207.5,"nonvolant","nonfossorial","arboreal","diurnal"
"174","Hylobates_muelleri","Mammalia","Primates",57,5765,"nonvolant","nonfossorial","arboreal","diurnal"
"175","Hylobates_pileatus","Mammalia","Primates",38,5735,"nonvolant","nonfossorial","arboreal","diurnal"
"176","Hystrix_africaeaustralis","Mammalia","Rodentia",23.1,24000,"nonvolant","semifossorial","terrestrial","nocturnal"
"177","Hystrix_brachyura","Mammalia","Rodentia",27.3,8000,"nonvolant","semifossorial","terrestrial","nocturnal"
"178","Hystrix_cristata","Mammalia","Rodentia",28,20000,"nonvolant","semifossorial","terrestrial","nocturnal"
"179","Hystrix_indica","Mammalia","Rodentia",27.1,20000,"nonvolant","semifossorial","terrestrial","nocturnal"
"180","Jaculus_jaculus","Mammalia","Rodentia",7.3,55,"nonvolant","semifossorial","terrestrial","nocturnal"
"181","Kerodon_rupestris","Mammalia","Rodentia",12.9,950,"nonvolant","semifossorial","terrestrial","nocturnal"
"182","Kobus_ellipsiprymnus","Mammalia","Artiodactyla",30,175333,"nonvolant","nonfossorial","terrestrial","crepuscular"
"183","Kobus_kob","Mammalia","Artiodactyla",21.9,105000,"nonvolant","nonfossorial","terrestrial","crepuscular"
"184","Kobus_leche","Mammalia","Artiodactyla",25.4,94800,"nonvolant","nonfossorial","terrestrial","crepuscular"
"185","Kobus_megaceros","Mammalia","Artiodactyla",21.1,90000,"nonvolant","nonfossorial","terrestrial","crepuscular"
"187","Lagostomus_maximus","Mammalia","Rodentia",10.8,6000,"nonvolant","semifossorial","terrestrial","crepuscular"
"188","Lagothrix_lagotricha","Mammalia","Primates",32,7650,"nonvolant","nonfossorial","arboreal","diurnal"
"189","Lagurus_lagurus","Mammalia","Rodentia",3.8,20.3,"nonvolant","semifossorial","terrestrial","cathemeral"
"190","Lama_glama","Mammalia","Artiodactyla",28.9,140000,"nonvolant","nonfossorial","terrestrial","diurnal"
"191","Lasionycteris_noctivagans","Mammalia","Chiroptera",12,10,"volant","nonfossorial","volant","cathemeral"
"193","Lasiurus_cinereus","Mammalia","Chiroptera",14,24,"volant","nonfossorial","volant","nocturnal"
"194","Lemniscomys_barbarus","Mammalia","Rodentia",4.4,26.2,"nonvolant","nonfossorial","terrestrial","cathemeral"
"195","Lemniscomys_striatus","Mammalia","Rodentia",4.8,42.3,"nonvolant","nonfossorial","terrestrial","cathemeral"
"196","Lemur_catta","Mammalia","Primates",37.3,2555,"nonvolant","nonfossorial","semiarboreal","diurnal"
"197","Leontopithecus_chrysomelas","Mammalia","Primates",21.3,535,"nonvolant","nonfossorial","arboreal","diurnal"
"198","Leontopithecus_rosalia","Mammalia","Primates",31.6,654.5,"nonvolant","nonfossorial","arboreal","diurnal"
"199","Leopardus_geoffroyi","Mammalia","Carnivora",23,4000,"nonvolant","nonfossorial","terrestrial","nocturnal"
"200","Leopardus_pardalis","Mammalia","Carnivora",28.2,8800,"nonvolant","nonfossorial","terrestrial","nocturnal"
"201","Leopardus_wiedii","Mammalia","Carnivora",24,3666.7,"nonvolant","nonfossorial","arboreal","nocturnal"
"202","Leptailurus_serval","Mammalia","Carnivora",22.4,13350,"nonvolant","nonfossorial","terrestrial","nocturnal"
"203","Leptonycteris_curasoae","Mammalia","Chiroptera",10.1,25,"volant","nonfossorial","volant","nocturnal"
"205","Litocranius_walleri","Mammalia","Artiodactyla",17.3,43500,"nonvolant","nonfossorial","terrestrial","diurnal"
"206","Lontra_canadensis","Mammalia","Carnivora",27,9000,"nonvolant","semifossorial","aquatic","nocturnal"
"208","Lutra_lutra","Mammalia","Carnivora",18.2,6750,"nonvolant","semifossorial","aquatic","cathemeral"
"209","Lycaon_pictus","Mammalia","Carnivora",17,26500,"nonvolant","nonfossorial","terrestrial","crepuscular"
"210","Lynx_lynx","Mammalia","Carnivora",23.7,23000,"nonvolant","nonfossorial","terrestrial","nocturnal"
"211","Lynx_rufus","Mammalia","Carnivora",32.3,8600,"nonvolant","nonfossorial","terrestrial","nocturnal"
"212","Macaca_arctoides","Mammalia","Primates",29.2,9275,"nonvolant","nonfossorial","terrestrial","diurnal"
"213","Macaca_fascicularis","Mammalia","Primates",39,6362.5,"nonvolant","nonfossorial","semiarboreal","diurnal"
"214","Macaca_mulatta","Mammalia","Primates",40,8235,"nonvolant","nonfossorial","semiarboreal","diurnal"
"215","Macaca_radiata","Mammalia","Primates",30,6755,"nonvolant","nonfossorial","semiarboreal","diurnal"
"216","Macaca_silenus","Mammalia","Primates",40,7875,"nonvolant","nonfossorial","arboreal","diurnal"
"227","Macrotus_waterhousii","Mammalia","Chiroptera",10.4,16,"volant","nonfossorial","volant","nocturnal"
"228","Madoqua_kirkii","Mammalia","Artiodactyla",17.3,5000,"nonvolant","nonfossorial","terrestrial","cathemeral"
"229","Mandrillus_leucophaeus","Mammalia","Primates",39,18250,"nonvolant","nonfossorial","terrestrial","diurnal"
"230","Mandrillus_sphinx","Mammalia","Primates",40,23000,"nonvolant","nonfossorial","terrestrial","diurnal"
"231","Marmota_marmota","Mammalia","Rodentia",17.4,3500,"nonvolant","fossorial","terrestrial","diurnal"
"232","Marmota_monax","Mammalia","Rodentia",14,4000,"nonvolant","fossorial","terrestrial","diurnal"
