"","species","class","order","maximum_lifespan_yr","mass_g","volancy","fossoriallity","foraging_environment","daily_activity"
"291","Nyctereutes_procyonoides","Mammalia","Carnivora",16.6,6500,"nonvolant","semifossorial","terrestrial","cathemeral"
"292","Nycticebus_coucang","Mammalia","Primates",25.8,890.5,"nonvolant","nonfossorial","arboreal","nocturnal"
"293","Nycticebus_pygmaeus","Mammalia","Primates",17.1,419,"nonvolant","nonfossorial","arboreal","nocturnal"
"294","Nycticeius_humeralis","Mammalia","Chiroptera",6,9.75,"volant","nonfossorial","volant","nocturnal"
"295","Octodon_degus","Mammalia","Rodentia",14,235,"nonvolant","semifossorial","terrestrial","diurnal"
"296","Odocoileus_hemionus","Mammalia","Artiodactyla",22,57000,"nonvolant","nonfossorial","terrestrial","crepuscular"
"297","Odocoileus_virginianus","Mammalia","Artiodactyla",23,87000,"nonvolant","nonfossorial","terrestrial","crepuscular"
"298","Okapia_johnstoni","Mammalia","Artiodactyla",33.5,225000,"nonvolant","nonfossorial","terrestrial","diurnal"
"299","Oreotragus_oreotragus","Mammalia","Artiodactyla",25.9,12000,"nonvolant","nonfossorial","terrestrial","diurnal"
"301","Oryx_dammah","Mammalia","Artiodactyla",27.5,177500,"nonvolant","nonfossorial","terrestrial","diurnal"
"302","Oryx_gazella","Mammalia","Artiodactyla",23.8,170000,"nonvolant","nonfossorial","terrestrial","diurnal"
"303","Oryx_leucoryx","Mammalia","Artiodactyla",20.8,121350,"nonvolant","nonfossorial","terrestrial","diurnal"
"304","Otocyon_megalotis","Mammalia","Carnivora",17,4150,"nonvolant","semifossorial","terrestrial","cathemeral"
"305","Otolemur_crassicaudatus","Mammalia","Primates",22.7,1094.5,"nonvolant","nonfossorial","arboreal","nocturnal"
"306","Otolemur_garnettii","Mammalia","Primates",18.3,1300,"nonvolant","nonfossorial","arboreal","nocturnal"
"307","Ovis_aries","Mammalia","Artiodactyla",22.8,80000,"nonvolant","nonfossorial","terrestrial","diurnal"
"308","Ovis_canadensis","Mammalia","Artiodactyla",20.6,70275,"nonvolant","nonfossorial","terrestrial","diurnal"
"309","Ovis_dalli","Mammalia","Artiodactyla",19.6,73100,"nonvolant","nonfossorial","terrestrial","diurnal"
"310","Pan_troglodytes","Mammalia","Primates",59.4,44983.5,"nonvolant","nonfossorial","semiarboreal","diurnal"
"311","Panthera_leo","Mammalia","Carnivora",27,175000,"nonvolant","nonfossorial","terrestrial","nocturnal"
"312","Panthera_onca","Mammalia","Carnivora",28,81150,"nonvolant","nonfossorial","terrestrial","cathemeral"
"313","Panthera_pardus","Mammalia","Carnivora",27.3,53750,"nonvolant","nonfossorial","terrestrial","nocturnal"
"314","Panthera_tigris","Mammalia","Carnivora",26.3,119700,"nonvolant","nonfossorial","terrestrial","nocturnal"
"315","Papio_hamadryas","Mammalia","Primates",37.5,18000,"nonvolant","nonfossorial","terrestrial","diurnal"
"316","Pecari_tajacu","Mammalia","Artiodactyla",31.5,20200,"nonvolant","nonfossorial","terrestrial","cathemeral"
"318","Peromyscus_eremicus","Mammalia","Rodentia",7.4,25,"nonvolant","nonfossorial","terrestrial","nocturnal"
"319","Peromyscus_maniculatus","Mammalia","Rodentia",8.3,20.5,"nonvolant","nonfossorial","terrestrial","nocturnal"
"320","Peromyscus_polionotus","Mammalia","Rodentia",5.5,14,"nonvolant","nonfossorial","terrestrial","nocturnal"
"323","Phacochoerus_africanus","Mammalia","Artiodactyla",20.9,100000,"nonvolant","semifossorial","terrestrial","cathemeral"
"326","Philantomba_monticola","Mammalia","Artiodactyla",15.9,6250,"nonvolant","nonfossorial","terrestrial","nocturnal"
"327","Phloeomys_pallidus","Mammalia","Rodentia",10.7,1744,"nonvolant","nonfossorial","arboreal","nocturnal"
"328","Phodopus_sungorus","Mammalia","Rodentia",3.9,23.4,"nonvolant","semifossorial","terrestrial","crepuscular"
"329","Phyllostomus_discolor","Mammalia","Chiroptera",9,43.4,"volant","nonfossorial","arboreal","nocturnal"
"330","Phyllostomus_hastatus","Mammalia","Chiroptera",18,81,"volant","nonfossorial","arboreal","nocturnal"
"331","Pipistrellus_kuhlii","Mammalia","Chiroptera",8,6,"volant","nonfossorial","volant","nocturnal"
"332","Pipistrellus_nathusii","Mammalia","Chiroptera",11,10,"volant","nonfossorial","volant","nocturnal"
"333","Pipistrellus_pipistrellus","Mammalia","Chiroptera",16.6,5,"volant","nonfossorial","volant","nocturnal"
"334","Pipistrellus_subflavus","Mammalia","Chiroptera",14.8,7.5,"volant","nonfossorial","volant","nocturnal"
"335","Pithecia_pithecia","Mammalia","Primates",36,1480,"nonvolant","nonfossorial","arboreal","diurnal"
"336","Plecotus_auritus","Mammalia","Chiroptera",30,7.8,"volant","nonfossorial","volant","nocturnal"
"337","Plecotus_austriacus","Mammalia","Chiroptera",25.5,12,"volant","nonfossorial","volant","nocturnal"
"338","Pongo_pygmaeus","Mammalia","Primates",59,64475,"nonvolant","nonfossorial","arboreal","diurnal"
"339","Potamochoerus_porcus","Mammalia","Artiodactyla",22,88000,"nonvolant","semifossorial","terrestrial","nocturnal"
"341","Potos_flavus","Mammalia","Carnivora",38.4,3000,"nonvolant","nonfossorial","arboreal","nocturnal"
"342","Prionailurus_bengalensis","Mammalia","Carnivora",17,5000,"nonvolant","nonfossorial","semiarboreal","nocturnal"
"343","Prionailurus_rubiginosus","Mammalia","Carnivora",17.9,1350,"nonvolant","nonfossorial","semiarboreal","nocturnal"
"345","Procyon_lotor","Mammalia","Carnivora",21,6000,"nonvolant","nonfossorial","semiarboreal","nocturnal"
"346","Przewalskium_albirostris","Mammalia","Artiodactyla",21.3,135000,"nonvolant","nonfossorial","terrestrial","crepuscular"
"347","Psammomys_obesus","Mammalia","Rodentia",3.2,212,"nonvolant","semifossorial","terrestrial","diurnal"
"349","Pseudois_nayaur","Mammalia","Artiodactyla",20.9,55000,"nonvolant","nonfossorial","terrestrial","diurnal"
"350","Pseudomys_australis","Mammalia","Rodentia",7.9,65,"nonvolant","semifossorial","terrestrial","nocturnal"
"351","Pteropus_giganteus","Mammalia","Chiroptera",40,1175,"volant","nonfossorial","volant","nocturnal"
"352","Pteropus_hypomelanus","Mammalia","Chiroptera",20.3,450,"volant","nonfossorial","volant","nocturnal"
"353","Pteropus_livingstonii","Mammalia","Chiroptera",15,696.5,"volant","nonfossorial","volant","nocturnal"
"354","Pteropus_lylei","Mammalia","Chiroptera",20.4,316.7,"volant","nonfossorial","volant","nocturnal"
"355","Pteropus_poliocephalus","Mammalia","Chiroptera",23.6,675,"volant","nonfossorial","volant","nocturnal"
"356","Pteropus_pumilus","Mammalia","Chiroptera",17.2,200,"volant","nonfossorial","volant","nocturnal"
"357","Pteropus_rodricensis","Mammalia","Chiroptera",28,350,"volant","nonfossorial","volant","nocturnal"
"358","Pteropus_vampyrus","Mammalia","Chiroptera",20.9,872,"volant","nonfossorial","volant","nocturnal"
"359","Pudu_puda","Mammalia","Artiodactyla",18.3,10000,"nonvolant","nonfossorial","terrestrial","cathemeral"
"360","Puma_concolor","Mammalia","Carnivora",23.8,63000,"nonvolant","nonfossorial","terrestrial","cathemeral"
"361","Pygathrix_nemaeus","Mammalia","Primates",26,9720,"nonvolant","nonfossorial","arboreal","diurnal"
"362","Rangifer_tarandus","Mammalia","Artiodactyla",21.8,101250,"nonvolant","nonfossorial","terrestrial","diurnal"
"363","Raphicerus_campestris","Mammalia","Artiodactyla",9.3,13000,"nonvolant","nonfossorial","terrestrial","diurnal"
"364","Rattus_norvegicus","Mammalia","Rodentia",3.8,300,"nonvolant","semifossorial","terrestrial","nocturnal"
"365","Rattus_rattus","Mammalia","Rodentia",4.2,200,"nonvolant","semifossorial","semiarboreal","nocturnal"
"366","Rhabdomys_pumilio","Mammalia","Rodentia",4.5,51,"nonvolant","nonfossorial","semiarboreal","diurnal"
"368","Rhinolophus_ferrumequinum","Mammalia","Chiroptera",30.5,22.875,"volant","nonfossorial","volant","nocturnal"
"369","Rhinolophus_hipposideros","Mammalia","Chiroptera",29.4,4.6,"volant","nonfossorial","volant","nocturnal"
"370","Rousettus_aegyptiacus","Mammalia","Chiroptera",22.9,125,"volant","nonfossorial","arboreal","nocturnal"
"371","Rousettus_lanosus","Mammalia","Chiroptera",18.7,103,"volant","nonfossorial","arboreal","nocturnal"
"372","Rousettus_leschenaultii","Mammalia","Chiroptera",14,108.25,"volant","nonfossorial","arboreal","nocturnal"
"373","Rucervus_duvaucelii","Mammalia","Artiodactyla",24.5,170000,"nonvolant","nonfossorial","terrestrial","cathemeral"
"374","Rucervus_eldii","Mammalia","Artiodactyla",20.5,122500,"nonvolant","nonfossorial","terrestrial","cathemeral"
"375","Rupicapra_rupicapra","Mammalia","Artiodactyla",17.6,37500,"nonvolant","nonfossorial","terrestrial","cathemeral"
"376","Rusa_timorensis","Mammalia","Artiodactyla",21.1,63000,"nonvolant","nonfossorial","terrestrial","nocturnal"
"377","Rusa_unicolor","Mammalia","Artiodactyla",26.4,185000,"nonvolant","nonfossorial","terrestrial","nocturnal"
"378","Saccopteryx_bilineata","Mammalia","Chiroptera",6,7.9,"volant","nonfossorial","volant","nocturnal"
"379","Saguinus_bicolor","Mammalia","Primates",19,495.8,"nonvolant","nonfossorial","arboreal","diurnal"
"380","Saguinus_fuscicollis","Mammalia","Primates",24.9,456.5,"nonvolant","nonfossorial","arboreal","diurnal"
"381","Saguinus_geoffroyi","Mammalia","Primates",20.5,499.3,"nonvolant","nonfossorial","arboreal","diurnal"
"382","Saguinus_imperator","Mammalia","Primates",23.7,518.5,"nonvolant","nonfossorial","arboreal","diurnal"
"383","Saguinus_labiatus","Mammalia","Primates",20.5,501.3,"nonvolant","nonfossorial","arboreal","diurnal"
