"","Binomial","order","family","genus","species","Mean_brain_mass_g","Mean_body_mass_g","Brain.resid","T_resid"
"1433","Protoxerus_stangeri","Rodentia","Sciuridae","Protoxerus","stangeri",11.33,639.5,0.209806364,0.313902211
"1434","Marmota_menzbieri","Rodentia","Sciuridae","Marmota","menzbieri",11.4,3015,-0.292608416,-0.116387743
"1435","Petaurista_petaurista","Rodentia","Sciuridae","Petaurista","petaurista",11.77,1811.5,-0.112798545,0.039726798
"1436","Marmota_flaviventris","Rodentia","Sciuridae","Marmota","flaviventris",12.27,3350.5,-0.295035751,-0.113907598
"1437","Marmota_bobak","Rodentia","Sciuridae","Marmota","bobak",12.56,4922,-0.410165816,-0.211148866
"1438","Marmota_camtschatica","Rodentia","Sciuridae","Marmota","camtschatica",12.63,3314.5,-0.278958231,-0.098332539
"1439","Lagostomus_maximus","Rodentia","Chinchillidae","Lagostomus","maximus",12.66,4270.75,-0.36049323,-0.168077531
"1440","Thryonomys_swinderianus","Rodentia","Thryonomyidae","Thryonomys","swinderianus",13.28,1625,-0.024987877,0.122484047
"1441","Marmota_vancouverensis","Rodentia","Sciuridae","Marmota","vancouverensis",13.68,4250,-0.325254409,-0.133065245
"1442","Marmota_sibirica","Rodentia","Sciuridae","Marmota","sibirica",13.74,6500,-0.461748367,-0.249796999
"1443","Marmota_baibacina","Rodentia","Sciuridae","Marmota","baibacina",13.75,5375,-0.399530666,-0.196418623
"1444","Marmota_broweri","Rodentia","Sciuridae","Marmota","broweri",13.94,3405,-0.244873208,-0.062994567
"1445","Marmota_monax","Rodentia","Sciuridae","Marmota","monax",14.185,2804.5,-0.174109807,-0.001255425
"1446","Marmota_marmota","Rodentia","Sciuridae","Marmota","marmota",14.25,3813.65,-0.272239245,-0.08508884
"1447","Marmota_caudata","Rodentia","Sciuridae","Marmota","caudata",14.28,4242,-0.305998594,-0.113897065
"1448","Marmota_caligata","Rodentia","Sciuridae","Marmota","caligata",14.63,6300,-0.424311074,-0.213813328
"1449","Marmota_olympus","Rodentia","Sciuridae","Marmota","olympus",15.43,3478.8,-0.207754379,-0.024878404
"1450","Marmota_himalayana","Rodentia","Sciuridae","Marmota","himalayana",16.71,6607.5,-0.38210156,-0.169387246
"1451","Myocastor_coypus","Rodentia","Myocastoridae","Myocastor","coypus",17.09,7052,-0.393542491,-0.177799966
"1452","Dasyprocta_punctata","Rodentia","Dasyproctidae","Dasyprocta","punctata",18.34,3172,-0.102648485,0.075933257
"1453","Erethizon_dorsata","Rodentia","Erethizontidae","Erethizon","dorsata",24.6,5397,-0.148228731,0.055073298
"1454","Dinomys_branickii","Rodentia","Dinomyidae","Dinomys","branickii",26.95,14000,-0.419089638,-0.171451633
"1455","Cuniculus_paca","Rodentia","Cuniculidae","Cuniculus","paca",35.22,4607,0.059176642,0.255117373
"1456","Cavia_porcellus","Rodentia","Caviidae","Cavia","porcellus",4.83,476,-0.064300333,0.026061948
